rank	gene	description	N	n	npat	nsite	nsil	n1	n2	n3	n4	n5	n6	p_classic	p_ns_s	p_clust	p_cons	p_joint	p	q
12	EFNB3	ephrin-B3	348243	12	12	1	0	0	0	0	0	12	0	9.41e-08	1.000	0.000	0.562	0.000	<1.00e-15	<3.45e-13
13	NAPSA	napsin A aspartic peptidase	515598	12	12	2	0	1	0	0	0	10	1	3.66e-07	0.637	0.000	0.992	0.000	<1.00e-15	<3.45e-13
14	OSBPL3	oxysterol binding protein-like 3	1231143	12	12	3	1	0	0	0	0	11	1	0.000342	0.450	2.00e-07	0.0519	0.000	<1.00e-15	<3.45e-13
15	SPDYE3	speedy homolog E3 (Xenopus laevis)	358182	12	12	1	0	0	0	0	0	12	0	1.86e-07	1.000	0.000	0.174	0.000	<1.00e-15	<3.45e-13
16	C1S	complement component 1, s subcomponent	949879	16	11	3	2	0	1	0	7	8	0	9.98e-05	0.386	0.000	0.000292	0.000	<1.00e-15	<3.45e-13
17	PKD2	polycystic kidney disease 2 (autosomal dominant)	1063183	12	11	3	0	0	1	0	11	0	0	5.36e-05	0.104	8.00e-07	0.000209	0.000	<1.00e-15	<3.45e-13
18	SLC26A4	solute carrier family 26, member 4	1015348	11	11	3	3	1	0	0	1	9	0	0.00358	0.553	2.00e-06	0.0412	0.000	<1.00e-15	<3.45e-13
19	TSKS	testis-specific serine kinase substrate	691209	11	11	2	0	0	1	0	0	10	0	5.27e-05	0.548	0.000	0.777	0.000	<1.00e-15	<3.45e-13
20	PHYH	phytanoyl-CoA 2-hydroxylase	429107	10	10	2	0	0	0	0	1	9	0	2.67e-06	0.858	0.000	1.000	0.000	<1.00e-15	<3.45e-13
21	OR4A47	olfactory receptor, family 4, subfamily A, member 47	408792	10	9	2	0	0	0	0	10	0	0	8.48e-07	0.158	0.000	0.919	0.000	<1.00e-15	<3.45e-13
22	PREP	prolyl endopeptidase	973443	9	9	2	0	0	0	0	0	9	0	0.00185	0.181	0.000	0.271	0.000	<1.00e-15	<3.45e-13
23	SDHAF2	succinate dehydrogenase complex assembly factor 2	232996	9	9	1	0	0	0	0	0	9	0	4.54e-07	0.236	0.000	0.00668	0.000	<1.00e-15	<3.45e-13
24	SLC4A5	solute carrier family 4, sodium bicarbonate cotransporter, member 5	1541933	9	9	2	0	0	0	0	0	9	0	0.0553	0.828	0.000	0.00125	0.000	<1.00e-15	<3.45e-13
25	ARPC2	actin related protein 2/3 complex, subunit 2, 34kDa	412986	8	8	2	0	0	0	0	0	8	0	5.69e-05	0.280	0.000	0.456	0.000	<1.00e-15	<3.45e-13
26	CHSY1	chondroitin sulfate synthase 1	938583	8	8	2	0	0	0	0	1	7	0	0.0109	0.851	2.08e-05	2.00e-07	0.000	<1.00e-15	<3.45e-13
27	PDE9A	phosphodiesterase 9A	831641	8	8	1	0	0	0	0	0	8	0	0.0106	1.000	0.000	0.497	0.000	<1.00e-15	<3.45e-13
28	RRAS2	related RAS viral (r-ras) oncogene homolog 2	238375	8	8	1	0	0	0	0	0	8	0	5.13e-06	0.308	0.000	0.150	0.000	<1.00e-15	<3.45e-13
29	TRH	thyrotropin-releasing hormone	243937	8	8	1	0	0	0	0	0	8	0	8.57e-06	1.000	0.000	0.435	0.000	<1.00e-15	<3.45e-13
30	NETO2	neuropilin (NRP) and tolloid (TLL)-like 2	707598	7	7	2	0	0	0	1	0	6	0	0.00347	0.245	0.000	0.336	0.000	<1.00e-15	<3.45e-13
31	PCGF1	polycomb group ring finger 1	340537	7	7	1	1	0	0	0	0	7	0	0.000259	1.000	0.000	0.961	0.000	<1.00e-15	<3.45e-13
32	RBPJL	recombination signal binding protein for immunoglobulin kappa J region-like	565554	7	7	2	0	0	0	1	0	6	0	0.00130	0.803	2.00e-07	0.000158	0.000	<1.00e-15	<3.45e-13
33	SHANK1	SH3 and multiple ankyrin repeat domains 1	1347926	7	7	1	2	0	0	0	0	7	0	0.145	1.000	0.000	0.00125	0.000	<1.00e-15	<3.45e-13
34	ZMAT2	zinc finger, matrin type 2	279511	7	7	1	1	0	0	0	0	7	0	6.47e-05	0.768	2.00e-07	0.291	0.000	<1.00e-15	<3.45e-13
35	FAP	fibroblast activation protein, alpha	1072599	6	6	1	0	0	0	0	0	6	0	0.0775	0.388	0.000	0.00269	0.000	<1.00e-15	<3.45e-13
36	FBXO24	F-box protein 24	780619	6	6	1	0	0	0	0	0	5	1	0.0184	1.000	0.000	0.131	0.000	<1.00e-15	<3.45e-13
37	NSFL1C	NSFL1 (p97) cofactor (p47)	466337	6	6	1	0	0	0	0	0	6	0	0.00740	1.000	0.000	0.443	0.000	<1.00e-15	<3.45e-13
38	NWD1	NACHT and WD repeat domain containing 1	1685717	6	6	1	3	0	0	0	0	5	1	0.286	1.000	0.000	0.00859	0.000	<1.00e-15	<3.45e-13
39	PRB1	proline-rich protein BstNI subfamily 1	401065	6	6	1	0	0	0	0	0	6	0	0.00200	1.000	0.000	0.994	0.000	<1.00e-15	<3.45e-13
40	PXMP2	peroxisomal membrane protein 2, 22kDa	204482	6	6	1	0	0	0	0	0	6	0	0.000249	1.000	0.000	0.548	0.000	<1.00e-15	<3.45e-13
41	SLC35F1	solute carrier family 35, member F1	502705	6	6	1	0	0	0	0	0	6	0	0.00558	0.302	0.000	0.226	0.000	<1.00e-15	<3.45e-13
42	DHRSX	dehydrogenase/reductase (SDR family) X-linked	405436	5	5	1	0	0	0	0	0	5	0	0.00866	1.000	0.000	0.995	0.000	<1.00e-15	<3.45e-13
43	ERN2	endoplasmic reticulum to nucleus signaling 2	1127426	5	5	1	0	0	0	0	0	5	0	0.212	1.000	0.000	0.940	0.000	<1.00e-15	<3.45e-13
44	OR9Q1	olfactory receptor, family 9, subfamily Q, member 1	419207	5	5	1	0	0	0	0	5	0	0	0.00241	0.378	0.000	1.000	0.000	<1.00e-15	<3.45e-13
45	PAX2	paired box 2	568055	5	5	1	0	0	0	0	0	5	0	0.0241	1.000	0.000	0.973	0.000	<1.00e-15	<3.45e-13
46	RASAL1	RAS protein activator like 1 (GAP1 like)	879857	5	5	2	0	0	0	0	1	4	0	0.0756	0.819	0.000	0.0106	0.000	<1.00e-15	<3.45e-13
47	RNF168	ring finger protein 168	779858	5	5	1	0	0	0	0	5	0	0	0.0239	0.454	0.000	0.736	0.000	<1.00e-15	<3.45e-13
48	SNRNP70	small nuclear ribonucleoprotein 70kDa (U1)	326941	5	5	1	0	0	0	0	0	5	0	0.00300	1.000	0.000	0.000224	0.000	<1.00e-15	<3.45e-13
49	TATDN2	TatD DNase domain containing 2	927472	5	5	1	0	0	0	0	0	5	0	0.132	1.000	0.000	0.000180	0.000	<1.00e-15	<3.45e-13
50	BMP8A	bone morphogenetic protein 8a	261168	4	4	1	0	0	0	0	0	4	0	0.00420	1.000	3.60e-06	0.000576	0.000	<1.00e-15	<3.45e-13
51	CPB2	carboxypeptidase B2 (plasma)	592851	5	4	2	0	0	0	0	3	2	0	0.0491	0.451	0.000	0.954	0.000	<1.00e-15	<3.45e-13
52	GUF1	GUF1 GTPase homolog (S. cerevisiae)	880226	5	4	3	1	0	0	0	2	3	0	0.153	0.717	2.00e-07	0.0818	0.000	<1.00e-15	<3.45e-13
53	MPO	myeloperoxidase	903519	4	4	4	0	0	0	2	1	1	0	0.0323	0.397	0.0754	0.000	0.000	<1.00e-15	<3.45e-13
54	SETD2	SET domain containing 2	3158653	52	50	49	1	2	1	4	11	31	3	5.00e-15	0.00108	0.0191	0.0147	0.00570	1.11e-15	3.75e-13
55	PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)	543821	21	19	21	1	1	2	0	4	13	1	6.55e-15	0.121	0.162	0.931	0.262	6.01e-14	1.99e-11
56	KDM5C	lysine (K)-specific demethylase 5C	1891599	27	27	27	1	1	1	1	6	18	0	7.99e-15	0.0708	0.377	0.431	0.483	1.32e-13	4.31e-11
57	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	883451	23	23	23	1	0	0	0	4	18	1	5.55e-15	0.165	0.484	0.907	0.745	1.41e-13	4.52e-11
58	TP53	tumor protein p53	566924	15	14	13	1	1	2	1	3	6	2	1.67e-11	0.128	0.303	0.0306	0.0833	3.93e-11	1.24e-08
59	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	3512988	33	32	27	4	0	5	5	22	1	0	3.71e-08	0.0510	4.72e-05	0.661	0.000149	1.48e-10	4.60e-08
60	SPRY4	sprouty homolog 4 (Drosophila)	328074	10	10	3	0	1	1	0	0	8	0	1.15e-06	0.376	3.68e-05	0.0375	4.22e-05	1.20e-09	3.66e-07
61	SORD	sorbitol dehydrogenase	388491	10	10	3	0	1	0	0	1	8	0	1.32e-06	0.504	3.94e-05	1.000	0.000128	3.99e-09	1.20e-06
62	OR4D1	olfactory receptor, family 4, subfamily D, member 1	418274	9	9	4	0	0	0	1	8	0	0	3.50e-07	0.148	0.000171	0.818	0.000571	4.66e-09	1.37e-06
63	SLC6A7	solute carrier family 6 (neurotransmitter transporter, L-proline), member 7	839916	10	10	3	0	0	0	0	1	6	3	2.37e-05	0.813	8.00e-07	0.912	1.12e-05	6.12e-09	1.77e-06
64	CIB3	calcium and integrin binding family member 3	264202	8	8	2	0	0	0	0	1	7	0	7.82e-06	0.859	8.60e-06	0.843	3.94e-05	7.05e-09	2.01e-06
65	LETM1	leucine zipper-EF-hand containing transmembrane protein 1	936570	12	12	3	0	0	0	0	1	11	0	0.000145	0.834	2.00e-07	0.959	9.60e-06	2.98e-08	8.38e-06
66	NAT8	N-acetyltransferase 8	297459	7	7	4	1	0	0	2	0	2	3	3.50e-07	0.862	0.00357	0.226	0.00572	4.21e-08	1.16e-05
67	FAM122C	family with sequence similarity 122C	371971	8	7	3	0	0	0	0	8	0	0	2.42e-05	0.265	3.60e-05	0.262	0.000152	7.54e-08	2.06e-05
68	EXTL2	exostoses (multiple)-like 2	447649	7	7	2	0	0	0	0	1	6	0	0.000767	0.313	2.00e-07	0.0812	7.20e-06	1.10e-07	2.97e-05
69	EGR1	early growth response 1	656566	9	9	2	1	1	0	0	0	8	0	0.000410	0.838	8.00e-07	1.000	1.40e-05	1.15e-07	3.03e-05
70	MARK4	MAP/microtubule affinity-regulating kinase 4	724276	9	9	2	0	0	0	1	0	8	0	0.000611	0.803	2.40e-06	0.997	1.22e-05	1.47e-07	3.83e-05
71	MRPL10	mitochondrial ribosomal protein L10	329996	7	7	2	1	0	1	0	0	6	0	0.000130	0.904	1.12e-05	1.000	6.30e-05	1.61e-07	4.15e-05
72	PCGF2	polycomb group ring finger 2	316048	7	7	2	1	0	0	0	1	6	0	9.62e-05	0.925	0.000988	0.00241	9.24e-05	1.74e-07	4.40e-05
73	MUC4	mucin 4, cell surface associated	1359107	64	48	58	15	5	10	10	23	16	0	1.90e-07	0.438	NaN	NaN	NaN	1.90e-07	4.75e-05
74	DCAF11	DDB1 and CUL4 associated factor 11	743971	10	10	6	0	1	0	0	2	7	0	1.13e-05	0.202	0.00131	0.0807	0.00137	2.94e-07	7.26e-05
75	CDC42EP3	CDC42 effector protein (Rho GTPase binding) 3	344512	4	4	1	1	0	0	0	4	0	0	0.00550	0.804	6.00e-07	0.992	4.20e-06	4.29e-07	0.000104
76	SLC30A9	solute carrier family 30 (zinc transporter), member 9	773221	8	8	2	0	0	0	0	1	7	0	0.00247	0.236	1.70e-05	0.0185	1.12e-05	5.10e-07	0.000123
77	BMF	Bcl2 modifying factor	247929	4	4	1	0	0	0	0	0	4	0	0.00923	1.000	4.00e-07	0.122	5.00e-06	8.26e-07	0.000196
78	CECR1	cat eye syndrome chromosome region, candidate 1	720350	10	10	4	0	0	0	0	2	8	0	3.21e-05	0.407	0.000767	0.905	0.00194	1.10e-06	0.000257
79	CCDC97	coiled-coil domain containing 97	409591	9	9	5	2	0	1	0	1	5	2	0.000158	0.864	0.000137	0.0705	0.000441	1.22e-06	0.000281
80	CPOX	coproporphyrinogen oxidase	455669	5	5	1	1	0	0	0	0	5	0	0.0112	1.000	0.000	0.741	7.00e-06	1.36e-06	0.000306
81	CDHR1	cadherin-related family member 1	1108690	10	10	3	1	0	1	0	1	8	0	0.00150	0.743	3.16e-05	0.0592	5.20e-05	1.36e-06	0.000306
82	LETMD1	LETM1 domain containing 1	500879	9	9	4	0	0	0	0	3	6	0	2.22e-05	0.184	0.00517	0.0263	0.00452	1.72e-06	0.000383
83	CAMTA2	calmodulin binding transcription activator 2	1602529	12	12	5	1	0	0	0	1	11	0	0.00343	0.811	0.000385	0.000554	2.98e-05	1.75e-06	0.000384
84	TSPAN19	tetraspanin 19	291351	5	5	5	0	0	1	0	2	2	0	3.46e-05	0.539	0.00162	0.234	0.00303	1.79e-06	0.000389
85	DPEP2	dipeptidase 2	604142	9	9	3	0	1	0	0	1	7	0	0.000146	0.564	0.000278	1.000	0.000732	1.82e-06	0.000392
86	ZNF280A	zinc finger protein 280A	730024	7	7	2	0	0	0	0	1	6	0	0.0101	0.846	2.00e-07	0.885	1.24e-05	2.11e-06	0.000448
87	NPL	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	453380	5	5	2	0	0	0	0	0	5	0	0.00434	0.502	3.20e-06	0.254	2.98e-05	2.18e-06	0.000458
88	EMP2	epithelial membrane protein 2	234088	4	4	1	0	0	0	0	0	4	0	0.00900	1.000	8.00e-07	0.830	1.80e-05	2.69e-06	0.000559
89	HPS3	Hermansky-Pudlak syndrome 3	1319976	9	9	2	0	0	0	0	1	8	0	0.0171	0.225	6.00e-07	0.487	1.06e-05	2.99e-06	0.000613
90	PLOD3	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3	863678	11	11	5	0	0	1	0	2	7	1	4.80e-05	0.367	0.00188	0.728	0.00453	3.55e-06	0.000721
91	ZNF512	zinc finger protein 512	792642	5	5	1	0	0	0	0	0	5	0	0.0583	0.439	4.00e-07	0.0328	4.20e-06	3.97e-06	0.000797
92	TIMP3	TIMP metallopeptidase inhibitor 3 (Sorsby fundus dystrophy, pseudoinflammatory)	239131	4	4	1	0	0	0	0	0	4	0	0.0113	1.000	1.20e-06	0.932	2.40e-05	4.39e-06	0.000871
93	SLC43A3	solute carrier family 43, member 3	675492	5	5	2	0	0	0	0	4	1	0	0.0230	0.432	3.80e-06	0.613	1.30e-05	4.78e-06	0.000940
94	ZNF625	zinc finger protein 625	416974	7	7	3	1	0	0	0	0	7	0	0.000171	0.965	0.00129	0.180	0.00230	6.21e-06	0.00120
95	TCEB1	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)	154575	3	3	3	0	0	0	0	3	0	0	0.000497	0.613	0.000339	0.599	0.000800	6.26e-06	0.00120
96	LDLRAP1	low density lipoprotein receptor adaptor protein 1	337381	4	4	1	0	0	0	0	0	4	0	0.0236	1.000	6.00e-07	0.996	2.00e-05	7.34e-06	0.00140
97	ANKRD23	ankyrin repeat domain 23	321643	4	4	1	1	0	0	0	0	4	0	0.0205	1.000	6.00e-07	0.107	2.44e-05	7.75e-06	0.00146
98	SLC43A1	solute carrier family 43, member 1	733331	5	5	1	0	0	0	0	0	5	0	0.0506	0.351	1.80e-06	0.0632	1.54e-05	1.17e-05	0.00219
99	CD4	CD4 molecule	608204	10	10	4	1	0	1	0	1	7	1	1.74e-05	0.845	0.0250	0.509	0.0574	1.48e-05	0.00271
100	ZDHHC5	zinc finger, DHHC-type containing 5	946699	10	10	4	0	0	1	0	2	7	0	0.000505	0.418	0.000803	0.880	0.00198	1.48e-05	0.00271
101	ANGPTL6	angiopoietin-like 6	384524	7	7	2	0	0	0	0	1	6	0	0.000323	0.814	0.00132	0.990	0.00318	1.52e-05	0.00274
102	IP6K2	inositol hexakisphosphate kinase 2	670542	4	4	2	0	0	0	0	1	3	0	0.108	0.845	7.42e-05	0.0104	1.14e-05	1.80e-05	0.00323
103	RBM23	RNA binding motif protein 23	601990	8	8	4	0	0	0	1	1	3	3	8.77e-06	0.241	0.0975	0.576	0.166	2.10e-05	0.00372
104	IGSF5	immunoglobulin superfamily, member 5	527741	4	4	1	0	0	0	0	0	4	0	0.0493	0.474	5.28e-05	0.00149	3.00e-05	2.13e-05	0.00374
105	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1	984879	7	7	3	0	1	0	0	1	4	1	0.00581	0.593	0.00115	0.0137	0.000325	2.68e-05	0.00466
106	YIF1A	Yip1 interacting factor homolog A (S. cerevisiae)	350871	5	5	2	0	0	0	0	0	5	0	0.00405	1.000	0.00167	0.0181	0.000560	3.17e-05	0.00542
107	BRAP	BRCA1 associated protein	788698	4	4	1	0	0	0	0	0	4	0	0.184	1.000	0.000	0.974	1.24e-05	3.18e-05	0.00542
108	NACA	nascent polypeptide-associated complex alpha subunit	2486805	10	10	4	2	0	0	0	2	8	0	0.159	0.925	2.00e-07	0.882	1.44e-05	3.20e-05	0.00542
109	AMHR2	anti-Mullerian hormone receptor, type II	747836	7	7	3	0	0	0	0	1	6	0	0.00374	0.822	0.000205	0.984	0.000686	3.56e-05	0.00597
110	CRYBB1	crystallin, beta B1	331382	6	6	2	0	0	0	0	0	6	0	0.000829	1.000	0.00141	0.836	0.00317	3.64e-05	0.00604
111	VPS33A	vacuolar protein sorting 33 homolog A (S. cerevisiae)	803141	4	4	1	1	0	0	0	0	4	0	0.180	1.000	6.00e-07	0.975	1.50e-05	3.73e-05	0.00614
112	ATP2A3	ATPase, Ca++ transporting, ubiquitous	1027319	4	4	1	1	0	0	0	0	4	0	0.323	1.000	4.00e-07	1.000	8.60e-06	3.83e-05	0.00625
113	ABCC1	ATP-binding cassette, sub-family C (CFTR/MRP), member 1	2052344	8	7	5	1	1	0	1	1	5	0	0.195	0.650	0.00346	2.40e-06	1.54e-05	4.12e-05	0.00665
114	GMEB1	glucocorticoid modulatory element binding protein 1	781691	4	4	1	0	0	0	0	0	4	0	0.139	0.477	2.40e-05	0.0130	2.18e-05	4.15e-05	0.00665
115	UBXN7	UBX domain protein 7	673596	4	4	1	0	0	0	0	0	4	0	0.0951	1.000	4.00e-07	0.910	3.40e-05	4.41e-05	0.00701
116	OR4F15	olfactory receptor, family 4, subfamily F, member 15	421977	5	5	3	0	0	1	0	3	1	0	0.00124	0.349	0.00110	0.440	0.00294	4.93e-05	0.00774
117	DCDC1	doublecortin domain containing 1	490674	8	8	7	0	0	1	0	2	5	0	6.11e-06	0.193	0.146	0.792	0.600	4.96e-05	0.00774
118	EMG1	EMG1 nucleolar protein homolog (S. cerevisiae)	334201	4	4	2	0	0	0	0	0	4	0	0.00471	1.000	0.000232	0.891	0.000789	5.02e-05	0.00777
119	TMEM229A	transmembrane protein 229A	146176	4	4	4	0	0	1	0	2	1	0	5.39e-05	0.336	0.0345	0.958	0.0760	5.49e-05	0.00842
120	OR2A25	olfactory receptor, family 2, subfamily A, member 25	420220	4	2	2	0	0	0	0	4	0	0	0.164	0.452	4.00e-07	0.860	2.62e-05	5.74e-05	0.00873
121	POLR2F	polymerase (RNA) II (DNA directed) polypeptide F	178387	3	3	1	0	0	0	0	0	3	0	0.0174	1.000	0.000120	0.112	0.000255	5.93e-05	0.00895
122	NEFH	neurofilament, heavy polypeptide 200kDa	959412	7	7	6	0	0	0	1	0	6	0	0.000503	0.726	0.00715	0.161	0.00964	6.42e-05	0.00960
123	OR4D11	olfactory receptor, family 4, subfamily D, member 11	422598	9	6	2	0	0	0	0	5	4	0	0.000780	0.344	0.00265	0.997	0.00672	6.90e-05	0.0102
124	SCN4A	sodium channel, voltage-gated, type IV, alpha subunit	2300339	8	8	2	3	0	0	0	0	8	0	0.270	0.996	2.40e-05	0.108	2.06e-05	7.30e-05	0.0107
125	TBC1D8B	TBC1 domain family, member 8B (with GRAM domain)	1556345	8	8	4	0	0	1	0	6	1	0	0.00951	0.244	0.000479	0.191	0.000609	7.56e-05	0.0110
126	KIAA1919	KIAA1919	702486	3	3	1	1	0	0	0	0	3	0	0.223	1.000	6.84e-05	0.0139	2.76e-05	7.99e-05	0.0116
127	ELOVL5	ELOVL family member 5, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)	417373	6	6	3	1	0	0	2	0	4	0	0.000299	0.637	0.0450	0.0446	0.0221	8.53e-05	0.0123
128	TESK1	testis-specific kinase 1	644783	4	4	1	1	0	0	0	0	4	0	0.119	1.000	1.20e-06	1.000	6.64e-05	0.000101	0.0144
129	SEMA4F	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F	985144	6	6	2	1	0	0	0	1	5	0	0.0673	0.960	2.02e-05	0.958	0.000124	0.000106	0.0150
130	THBS1	thrombospondin 1	1559206	11	10	8	0	0	1	2	2	6	0	0.00223	0.151	0.0426	0.00564	0.00388	0.000109	0.0154
131	PRKAA2	protein kinase, AMP-activated, alpha 2 catalytic subunit	729315	4	4	1	0	0	0	0	0	4	0	0.0913	0.508	2.52e-05	0.164	9.88e-05	0.000114	0.0159
132	SLC18A2	solute carrier family 18 (vesicular monoamine), member 2	698790	3	3	1	1	0	0	0	0	3	0	0.188	1.000	7.36e-05	0.00572	5.12e-05	0.000121	0.0167
133	PTGER3	prostaglandin E receptor 3 (subtype EP3)	461233	5	5	1	0	0	0	0	0	5	0	0.0180	0.389	1.20e-05	1.000	0.000601	0.000134	0.0184
134	DNMT3A	DNA (cytosine-5-)-methyltransferase 3 alpha	1126969	12	12	8	0	1	0	0	3	8	0	2.61e-05	0.234	0.213	0.897	0.429	0.000139	0.0188
135	MTFR1	mitochondrial fission regulator 1	511175	4	4	1	1	0	0	0	0	4	0	0.0490	0.718	3.08e-05	0.586	0.000229	0.000139	0.0188
136	TTF2	transcription termination factor, RNA polymerase II	1601117	4	4	2	0	1	0	0	0	3	0	0.390	0.432	2.62e-05	0.00477	2.92e-05	0.000141	0.0189
137	MKX	mohawk homeobox	430334	3	3	1	0	0	0	0	0	3	0	0.0649	1.000	8.96e-05	0.448	0.000180	0.000144	0.0192
138	EDIL3	EGF-like repeats and discoidin I-like domains 3	662910	6	6	4	0	1	0	1	0	4	0	0.00168	0.408	0.0160	0.0167	0.00716	0.000149	0.0197
139	ZADH2	zinc binding alcohol dehydrogenase, domain containing 2	429692	4	4	1	0	0	0	0	0	4	0	0.0448	0.413	2.30e-05	0.394	0.000319	0.000173	0.0228
140	TAGLN3	transgelin 3	275667	3	3	1	1	0	0	0	0	3	0	0.0283	1.000	0.000101	0.992	0.000556	0.000189	0.0246
141	C4orf47	chromosome 4 open reading frame 47	226853	2	1	2	0	0	0	0	1	1	0	0.150	0.850	0.0157	9.72e-05	0.000105	0.000190	0.0246
142	ASRGL1	asparaginase like 1	400741	4	4	1	0	0	0	0	0	4	0	0.0325	0.435	0.000111	0.0624	0.000496	0.000194	0.0249
143	ATN1	atrophin 1	1215454	8	8	3	1	0	0	0	0	6	2	0.0164	1.000	0.000213	0.999	0.000993	0.000196	0.0250
144	ZBTB39	zinc finger and BTB domain containing 39	945559	9	9	4	0	0	0	1	0	8	0	0.00158	0.633	0.00414	1.000	0.0112	0.000212	0.0269
145	OR4K5	olfactory receptor, family 4, subfamily K, member 5	437500	6	6	3	0	0	0	1	4	1	0	0.000254	0.305	0.0412	0.362	0.0736	0.000222	0.0279
146	TMEM145	transmembrane protein 145	598360	8	8	5	0	0	0	0	5	3	0	0.000194	0.305	0.0738	0.327	0.0971	0.000223	0.0279
147	RANBP2	RAN binding protein 2	4078079	20	18	14	1	1	5	2	4	8	0	0.00435	0.0407	0.00211	0.693	0.00435	0.000225	0.0279
148	NCKIPSD	NCK interacting protein with SH3 domain	775296	4	4	1	0	0	0	0	0	4	0	0.173	1.000	4.38e-05	0.122	0.000124	0.000252	0.0311
149	AGAP3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	1025640	11	10	5	0	0	1	0	3	7	0	0.00190	0.291	0.00531	0.997	0.0116	0.000258	0.0316
150	NFE2L2	nuclear factor (erythroid-derived 2)-like 2	804728	7	7	7	0	0	2	0	4	1	0	0.000283	0.228	0.0771	0.232	0.0785	0.000260	0.0316
151	A2ML1	alpha-2-macroglobulin-like 1	2022204	6	6	2	3	0	0	1	0	5	0	0.476	0.884	5.80e-06	0.981	4.68e-05	0.000261	0.0316
152	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide	1457485	10	10	7	0	0	4	1	4	1	0	0.000119	0.0764	0.113	0.799	0.188	0.000263	0.0316
153	PRDM4	PR domain containing 4	1096194	9	9	4	0	0	0	0	2	7	0	0.00222	0.236	0.00511	0.560	0.0113	0.000291	0.0347
154	OR4M1	olfactory receptor, family 4, subfamily M, member 1	418615	5	5	2	0	0	0	1	0	4	0	0.00289	0.709	0.00241	0.892	0.00924	0.000308	0.0366
155	OR4N2	olfactory receptor, family 4, subfamily N, member 2	403152	6	6	3	0	0	0	1	1	4	0	0.000443	0.618	0.0440	0.330	0.0641	0.000326	0.0382
156	DAB1	disabled homolog 1 (Drosophila)	739220	5	5	2	0	0	1	0	0	4	0	0.0346	0.716	0.000469	0.526	0.000821	0.000326	0.0382
157	ZNF70	zinc finger protein 70	595663	7	7	3	1	1	1	0	0	5	0	0.00203	0.645	0.00766	0.992	0.0148	0.000344	0.0400
158	CES1	carboxylesterase 1 (monocyte/macrophage serine esterase 1)	613065	7	7	5	1	0	1	0	3	3	0	0.000684	0.625	0.0260	0.353	0.0485	0.000375	0.0434
159	PDE4C	phosphodiesterase 4C, cAMP-specific (phosphodiesterase E1 dunce homolog, Drosophila)	809831	7	7	7	1	2	1	0	2	2	0	0.000492	0.471	0.0656	0.112	0.0710	0.000393	0.0452
